Value,Value,Count,P1_001N,POP_AREA,POP_DENS,REP_CAT
360.0,360.0,42.0,110,42.0,2.619047619047619,22
361.0,361.0,187.0,114,187.0,0.6096256684491979,0
362.0,362.0,36.0,43,36.0,1.1944444444444444,0
363.0,363.0,79.0,145,79.0,1.8354430379746836,0
364.0,364.0,26.0,68,26.0,2.6153846153846154,0
365.0,365.0,42.0,86,42.0,2.0476190476190474,0
366.0,366.0,46.0,10,46.0,0.21739130434782608,0
367.0,367.0,35.0,66,35.0,1.8857142857142857,22
368.0,368.0,40.0,98,40.0,2.45,22
369.0,369.0,7.0,47,7.0,6.714285714285714,0
370.0,370.0,144.0,22,144.0,0.1527777777777778,0
371.0,371.0,73.0,152,73.0,2.0821917808219177,0
372.0,372.0,30.0,77,30.0,2.566666666666667,0
373.0,373.0,450.0,219,450.0,0.4866666666666667,0
374.0,374.0,22.0,38,22.0,1.7272727272727273,0
375.0,375.0,417.0,497,417.0,1.1918465227817745,0
376.0,376.0,33.0,32,33.0,0.9696969696969697,0
377.0,377.0,24.0,70,24.0,2.9166666666666665,22
378.0,378.0,65.0,91,65.0,1.4,0
379.0,379.0,11.0,116,11.0,10.545454545454545,0
380.0,380.0,75.0,112,75.0,1.4933333333333334,0
381.0,381.0,19.0,68,19.0,3.5789473684210527,0
382.0,382.0,53.0,128,53.0,2.4150943396226414,0
383.0,383.0,33.0,54,33.0,1.6363636363636365,22
384.0,384.0,10.0,47,10.0,4.7,0
385.0,385.0,37.0,60,37.0,1.6216216216216217,22
386.0,386.0,15.0,67,15.0,4.466666666666667,0
387.0,387.0,694.0,54,694.0,0.07780979827089338,0
388.0,388.0,3.0,7,3.0,2.3333333333333335,0
389.0,389.0,20.0,203,20.0,10.15,23
390.0,390.0,56.0,66,56.0,1.1785714285714286,21
391.0,391.0,52.0,94,52.0,1.8076923076923077,0
392.0,392.0,100.0,80,100.0,0.8,0
393.0,393.0,1619.0,56,1619.0,0.034589252625077206,82
394.0,394.0,34.0,75,34.0,2.2058823529411766,22
395.0,395.0,21.0,107,21.0,5.095238095238095,0
396.0,396.0,21.0,57,21.0,2.7142857142857144,0
397.0,397.0,433.0,515,433.0,1.1893764434180139,0
398.0,398.0,13.0,29,13.0,2.230769230769231,22
399.0,399.0,56.0,78,56.0,1.3928571428571428,0
400.0,400.0,78.0,263,78.0,3.371794871794872,23
401.0,401.0,22.0,11,22.0,0.5,0
402.0,402.0,49.0,92,49.0,1.8775510204081634,0
403.0,403.0,105.0,97,105.0,0.9238095238095239,0
404.0,404.0,24.0,231,24.0,9.625,0
405.0,405.0,185.0,190,185.0,1.027027027027027,0
406.0,406.0,40.0,70,40.0,1.75,22
407.0,407.0,106.0,61,106.0,0.5754716981132075,21
408.0,408.0,1656.0,83,1656.0,0.050120772946859904,0
409.0,409.0,1414.0,8,1409.0,0.0056777856635912,82
410.0,410.0,29.0,71,29.0,2.4482758620689653,0
411.0,411.0,40.0,42,40.0,1.05,0
412.0,412.0,328.0,200,289.0,0.6920415224913494,0
413.0,413.0,22.0,62,22.0,2.8181818181818183,0
414.0,414.0,1285.0,16,1285.0,0.012451361867704281,82
415.0,415.0,15.0,18,15.0,1.2,0
416.0,416.0,24.0,73,24.0,3.0416666666666665,22
417.0,417.0,6.0,19,6.0,3.1666666666666665,0
418.0,418.0,46.0,81,46.0,1.7608695652173914,22
419.0,419.0,95.0,49,95.0,0.5157894736842106,0
420.0,420.0,14.0,38,14.0,2.7142857142857144,22
421.0,421.0,37.0,98,37.0,2.6486486486486487,22
422.0,422.0,66.0,43,66.0,0.6515151515151515,0
423.0,423.0,140.0,76,140.0,0.5428571428571428,0
424.0,424.0,29.0,63,29.0,2.1724137931034484,0
425.0,425.0,31.0,71,31.0,2.2903225806451615,0
426.0,426.0,42.0,50,42.0,1.1904761904761905,0
427.0,427.0,9.0,23,9.0,2.5555555555555554,0
428.0,428.0,77.0,94,76.0,1.236842105263158,0
429.0,429.0,44.0,58,44.0,1.3181818181818181,0
430.0,430.0,3.0,18,3.0,6.0,0
431.0,431.0,28.0,52,28.0,1.8571428571428572,22
432.0,432.0,45.0,62,45.0,1.3777777777777778,0
433.0,433.0,1487.0,40,1472.0,0.02717391304347826,82
434.0,434.0,2.0,30,2.0,15.0,0
435.0,435.0,18.0,32,18.0,1.7777777777777777,22
436.0,436.0,38.0,14,38.0,0.3684210526315789,0
437.0,437.0,4026.0,252,4013.0,0.06279591328183404,0
438.0,438.0,152.0,156,151.0,1.033112582781457,0
439.0,439.0,50.0,28,50.0,0.56,0
440.0,440.0,29.0,41,29.0,1.4137931034482758,0
441.0,441.0,31.0,34,31.0,1.096774193548387,22
442.0,442.0,20.0,71,20.0,3.55,22
443.0,443.0,25.0,32,25.0,1.28,0
444.0,444.0,39.0,51,39.0,1.3076923076923077,0
445.0,445.0,6.0,30,6.0,5.0,0
446.0,446.0,42.0,57,42.0,1.3571428571428572,0
447.0,447.0,11.0,27,11.0,2.4545454545454546,0
448.0,448.0,27.0,41,27.0,1.5185185185185186,22
449.0,449.0,22.0,50,22.0,2.272727272727273,22
450.0,450.0,68.0,74,68.0,1.088235294117647,0
451.0,451.0,41.0,227,41.0,5.536585365853658,0
452.0,452.0,83.0,119,83.0,1.4337349397590362,0
453.0,453.0,17.0,32,17.0,1.8823529411764706,0
454.0,454.0,164.0,223,164.0,1.3597560975609757,0
455.0,455.0,53.0,45,53.0,0.8490566037735849,0
456.0,456.0,33.0,56,33.0,1.696969696969697,0
457.0,457.0,73.0,128,73.0,1.7534246575342465,22
458.0,458.0,25.0,59,25.0,2.36,22
459.0,459.0,32.0,64,32.0,2.0,0
460.0,460.0,16.0,28,16.0,1.75,22
461.0,461.0,40.0,75,40.0,1.875,0
462.0,462.0,13.0,34,13.0,2.6153846153846154,0
463.0,463.0,35.0,63,35.0,1.8,22
464.0,464.0,20.0,27,20.0,1.35,22
465.0,465.0,20.0,62,20.0,3.1,0
466.0,466.0,1042.0,82,1042.0,0.07869481765834933,82
467.0,467.0,227.0,2,227.0,0.00881057268722467,82
468.0,468.0,54.0,33,54.0,0.6111111111111112,0
469.0,469.0,39.0,50,39.0,1.2820512820512822,0
470.0,470.0,15.0,26,15.0,1.7333333333333334,22
471.0,471.0,22.0,38,22.0,1.7272727272727273,22
472.0,472.0,204.0,144,177.0,0.8135593220338984,0
473.0,473.0,21524.0,169,21504.0,0.007859002976190476,0
474.0,474.0,19.0,55,19.0,2.8947368421052633,0
475.0,475.0,61.0,135,61.0,2.2131147540983607,22
476.0,476.0,26.0,58,26.0,2.230769230769231,22
477.0,477.0,9.0,51,9.0,5.666666666666667,0
