,Value,Count,ancID,polyID,POP_COUNT,POP_AREA,CLASSDENS,POP_EST,TOTALFRACT,NEW_POP,NEWDENSITY
6674,1675388.0,5.0,23.0,1807.0,0.0,18.0,0.002,0.01,0.27777777777777773,0.0,0.0
6675,1675447.0,82.0,82.0,1748.0,0.0,468.0,0.0001,0.0082,0.07008547008547009,0.0,0.0
6676,1677218.0,3.0,22.0,1809.0,0.0,15.0,0.002,0.006,0.3333333333333333,0.0,0.0
6677,1677219.0,9.0,23.0,1808.0,0.0,60.0,0.002,0.018000000000000002,0.16216216216216217,0.0,0.0
6678,1677227.0,2.0,31.0,1800.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0
6679,1679049.0,35.0,21.0,1811.0,0.0,121.0,0.001,0.035,0.16666666666666666,0.0,0.0
6680,1680872.0,9.0,11.0,1822.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0
6681,1680882.0,2.0,21.0,1812.0,0.0,22.0,0.001,0.002,0.047619047619047616,0.0,0.0
6682,1680883.0,63.0,22.0,1811.0,0.0,121.0,0.002,0.126,0.6,0.0,0.0
6683,1680884.0,39.0,23.0,1810.0,0.0,39.0,0.002,0.078,1.0,0.0,0.0
6684,1680902.0,44.0,41.0,1792.0,0.0,2921.0,0.0001,0.0044,0.010059442158207591,0.0,0.0
6685,1680951.0,68.0,90.0,1743.0,0.0,96.0,0.0001,0.0068000000000000005,0.1847826086956522,0.0,0.0
6686,1682716.0,74.0,21.0,1813.0,0.0,1453.0,0.001,0.074,0.12937062937062935,0.0,0.0
6687,1682717.0,14.0,22.0,1812.0,0.0,22.0,0.002,0.028,0.6666666666666666,0.0,0.0
6688,1682718.0,20.0,23.0,1811.0,0.0,121.0,0.002,0.04,0.19047619047619047,0.0,0.0
6689,1682737.0,69.0,42.0,1792.0,0.0,2921.0,0.0001,0.006900000000000001,0.015775034293552814,0.0,0.0
6690,1684551.0,6.0,21.0,1814.0,0.0,139.0,0.001,0.006,0.022050716648291068,0.0,0.0
6691,1684552.0,114.0,22.0,1813.0,0.0,1453.0,0.002,0.228,0.3986013986013986,0.0,0.0
6692,1684553.0,6.0,23.0,1812.0,0.0,22.0,0.002,0.012,0.2857142857142857,0.0,0.0
6693,1684554.0,3.0,24.0,1811.0,0.0,121.0,0.003,0.009000000000000001,0.04285714285714286,0.0,0.0
6694,1684573.0,74.0,43.0,1792.0,0.0,2921.0,0.0001,0.0074,0.016918152720621856,0.0,0.0
6695,1684612.0,2200.0,82.0,1753.0,0.0,2959.0,0.0001,0.22,0.28328611898017,0.0,0.0
6696,1686387.0,10.0,21.0,1815.0,0.0,133.0,0.001,0.01,0.24213075060532685,0.0,0.0
6697,1686388.0,81.0,22.0,1814.0,0.0,139.0,0.002,0.162,0.5953693495038589,0.0,0.0
6698,1686389.0,74.0,23.0,1813.0,0.0,1453.0,0.002,0.148,0.2587412587412587,0.0,0.0
6699,1686409.0,10.0,43.0,1793.0,0.0,296.0,0.0001,0.001,0.0026001040041601664,0.0,0.0
6700,1688224.0,83.0,21.0,1816.0,0.0,602.0,0.001,0.083,0.4325169359041167,0.0,0.0
6701,1688225.0,6.0,22.0,1815.0,0.0,133.0,0.002,0.012,0.29055690072639223,0.0,0.0
6702,1688226.0,49.0,23.0,1814.0,0.0,139.0,0.002,0.098,0.3601617052554208,0.0,0.0
6703,1688227.0,1.0,24.0,1813.0,0.0,1453.0,0.003,0.003,0.005244755244755244,0.0,0.0
6704,1690062.0,97.0,21.0,1817.0,0.0,407.0,0.001,0.097,0.34275618374558303,0.0,0.0
6705,1690063.0,28.0,22.0,1816.0,0.0,602.0,0.002,0.056,0.2918186555497655,0.0,0.0
6706,1690064.0,4.0,23.0,1815.0,0.0,133.0,0.002,0.008,0.1937046004842615,0.0,0.0
6707,1690065.0,2.0,24.0,1814.0,0.0,139.0,0.003,0.006,0.022050716648291068,0.0,0.0
6708,1690131.0,312.0,90.0,1748.0,0.0,468.0,0.0001,0.031200000000000002,0.26666666666666666,0.0,0.0
6709,1691902.0,48.0,22.0,1817.0,0.0,407.0,0.002,0.096,0.33922261484098937,0.0,0.0
6710,1691903.0,2.0,23.0,1816.0,0.0,602.0,0.002,0.004,0.020844189682126105,0.0,0.0
6711,1691970.0,72.0,90.0,1749.0,0.0,79.0,0.0001,0.007200000000000001,0.5070422535211268,0.0,0.0
6712,1693741.0,51.0,21.0,1819.0,0.0,223.0,0.001,0.051000000000000004,0.13680257510729613,0.0,0.0
6713,1693742.0,5.0,22.0,1818.0,0.0,12.0,0.002,0.01,0.4166666666666667,0.0,0.0
6714,1693743.0,29.0,23.0,1817.0,0.0,407.0,0.002,0.058,0.20494699646643108,0.0,0.0
6715,1693810.0,16.0,90.0,1750.0,0.0,571.0,0.0001,0.0016,0.0016813787305590584,0.0,0.0
6716,1695583.0,79.0,22.0,1819.0,0.0,223.0,0.002,0.158,0.42381974248927035,0.0,0.0
6717,1695584.0,7.0,23.0,1818.0,0.0,12.0,0.002,0.014,0.5833333333333334,0.0,0.0
6718,1695585.0,3.0,24.0,1817.0,0.0,407.0,0.003,0.009000000000000001,0.03180212014134275,0.0,0.0
6719,1695651.0,25.0,90.0,1751.0,0.0,601.0,0.0001,0.0025,0.002653646109754803,0.0,0.0
6720,1697425.0,34.0,22.0,1820.0,0.0,36.0,0.002,0.068,0.9444444444444444,0.0,0.0
6721,1697426.0,63.0,23.0,1819.0,0.0,223.0,0.002,0.126,0.33798283261802575,0.0,0.0
6722,1697485.0,20.0,82.0,1760.0,0.0,128.0,0.0001,0.002,0.015898251192368842,0.0,0.0
6723,1697493.0,67.0,90.0,1752.0,0.0,79.0,0.0001,0.0067,0.3582887700534759,0.0,0.0
6724,1699267.0,6.0,21.0,1822.0,0.0,63.0,0.001,0.006,0.049999999999999996,0.0,0.0
6725,1699268.0,28.0,22.0,1821.0,0.0,29.0,0.002,0.056,0.9655172413793103,0.0,0.0
6726,1699269.0,2.0,23.0,1820.0,0.0,36.0,0.002,0.004,0.05555555555555555,0.0,0.0
6727,1699270.0,12.0,24.0,1819.0,0.0,223.0,0.003,0.036000000000000004,0.09656652360515022,0.0,0.0
6728,1699288.0,7.0,42.0,1801.0,0.0,510.0,0.0001,0.0007,0.004221954161640531,0.0,0.0
6729,1699336.0,456.0,90.0,1753.0,0.0,2959.0,0.0001,0.0456,0.05871748647952615,0.0,0.0
6730,1701111.0,5.0,21.0,1823.0,0.0,76.0,0.001,0.005,0.03401360544217687,0.0,0.0
6731,1701112.0,57.0,22.0,1822.0,0.0,63.0,0.002,0.114,0.95,0.0,0.0
6732,1701113.0,1.0,23.0,1821.0,0.0,29.0,0.002,0.002,0.034482758620689655,0.0,0.0
6733,1701133.0,9.0,43.0,1801.0,0.0,510.0,0.0001,0.0009000000000000001,0.005428226779252111,0.0,0.0
6734,1701161.0,2.0,71.0,1773.0,0.0,350.0,0.0001,0.0002,0.00029708853238265005,0.0,0.0
6735,1702946.0,16.0,11.0,1834.0,0.0,559.0,0.0,0.0,0.0,0.0,0.0
6736,1702956.0,38.0,21.0,1824.0,0.0,268.0,0.001,0.038,0.07598480303939212,0.0,0.0
6737,1702957.0,55.0,22.0,1823.0,0.0,76.0,0.002,0.11,0.7482993197278911,0.0,0.0
6738,1703030.0,21.0,95.0,1750.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0
6739,1704802.0,8.0,21.0,1825.0,0.0,45.0,0.001,0.008,0.11976047904191617,0.0,0.0
6740,1704803.0,140.0,22.0,1824.0,0.0,268.0,0.002,0.28,0.5598880223955209,0.0,0.0
6741,1704804.0,16.0,23.0,1823.0,0.0,76.0,0.002,0.032,0.21768707482993194,0.0,0.0
6742,1704876.0,4.0,95.0,1751.0,0.0,601.0,0.0,0.0,0.0,0.0,0.0
6743,1706649.0,1.0,21.0,1826.0,0.0,39.0,0.001,0.001,0.012987012987012988,0.0,0.0
6744,1706650.0,21.0,22.0,1825.0,0.0,45.0,0.002,0.042,0.62874251497006,0.0,0.0
6745,1706651.0,56.0,23.0,1824.0,0.0,268.0,0.002,0.112,0.22395520895820836,0.0,0.0
6746,1708497.0,3.0,21.0,1827.0,0.0,28.0,0.001,0.003,0.056603773584905655,0.0,0.0
6747,1708498.0,38.0,22.0,1826.0,0.0,39.0,0.002,0.076,0.987012987012987,0.0,0.0
6748,1708499.0,8.0,23.0,1825.0,0.0,45.0,0.002,0.016,0.23952095808383234,0.0,0.0
6749,1708500.0,23.0,24.0,1824.0,0.0,268.0,0.003,0.069,0.13797240551889622,0.0,0.0
6750,1710346.0,14.0,21.0,1828.0,0.0,42.0,0.001,0.014,0.19999999999999998,0.0,0.0
6751,1710347.0,25.0,22.0,1827.0,0.0,28.0,0.002,0.05,0.9433962264150942,0.0,0.0
